No,Nama,LLDikti,
354,AKADEMI KEPERAWATAN DR. SOEDONO PROVINSI JAWA TIMUR,,
355,AKADEMI KEPERAWATAN FATIMA PARE-PARE,,
356,AKADEMI KEPERAWATAN FATMAWATI,3,
357,AKADEMI KEPERAWATAN GARUDA PUTIH JAMBI,,
358,AKADEMI KEPERAWATAN GIRI SATRIA HUSADA,,
359,AKADEMI KEPERAWATAN GITA MATURA ABADI KISARAN,1,
360,AKADEMI KEPERAWATAN GUNUNG MARIA,,
361,AKADEMI KEPERAWATAN HANG TUAH JAKARTA,,
362,AKADEMI KEPERAWATAN HARAPAN MAMA DELI SERDANG,,
363,AKADEMI KEPERAWATAN HARUM,3,
364,AKADEMI KEPERAWATAN HELVETIA,,
365,AKADEMI KEPERAWATAN HUSADA KARYA JAYA,3,
366,AKADEMI KEPERAWATAN IBNU SINA KOTA SABANG,13,
367,AKADEMI KEPERAWATAN INSAN HUSADA SURAKARTA,,
368,AKADEMI KEPERAWATAN INTAN MARTAPURA,11,
369,AKADEMI KEPERAWATAN ISLAMIC VILLAGE,,
370,AKADEMI KEPERAWATAN KALTARA TARAKAN,11,
371,AKADEMI KEPERAWATAN KARYA BHAKTI NUSANTARA,6,
372,AKADEMI KEPERAWATAN KERIS HUSADA JAKARTA,,
373,AKADEMI KEPERAWATAN KESDAM I/ BUKIT BARISAN,1,
374,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN,,
375,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PADANG,10,
376,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PEMATANG SIANTAR,1,
377,AKADEMI KEPERAWATAN KESDAM II SRIWIJAYA,2,
378,AKADEMI KEPERAWATAN KESDAM ISKANDAR MUDA BANDA ACEH,,
379,AKADEMI KEPERAWATAN KESDAM ISKANDAR MUDA LHOKSEUMAWE,,
380,AKADEMI KEPERAWATAN KESDAM IV/DIPONEGORO,6,
381,AKADEMI KEPERAWATAN KESDAM IX/UDAYANA,8,
382,AKADEMI KEPERAWATAN KESDAM VI/TANJUNGPURA,11,
383,AKADEMI KEPERAWATAN KRIDA HUSADA,,
384,AKADEMI KEPERAWATAN LAPATAU BONE,,
385,AKADEMI KEPERAWATAN MAKASAR,,
386,AKADEMI KEPERAWATAN MALAHAYATI MEDAN,,
387,AKADEMI KEPERAWATAN MANDIRI,,
388,AKADEMI KEPERAWATAN MANGGALA HUSADA,,
389,AKADEMI KEPERAWATAN MAPPA OUDANG MAKASSAR,,
390,AKADEMI KEPERAWATAN MARANATHA GROUPS,15,
391,AKADEMI KEPERAWATAN MUHAMMADIYAH BIREUEN,,
392,AKADEMI KEPERAWATAN NABILA,10,
393,AKADEMI KEPERAWATAN NAZHATUT THULLAB SAMPANG,,
394,AKADEMI KEPERAWATAN NGESTI WALUYO PARAKAN,6,
395,AKADEMI KEPERAWATAN NOTOKUSUMO,5,
396,AKADEMI KEPERAWATAN PANCA BHAKTI,,
397,AKADEMI KEPERAWATAN PANDAN HARUM BANJARMASIN,,
398,AKADEMI KEPERAWATAN PANGKALPINANG,,
399,AKADEMI KEPERAWATAN PANTI KOSALA,,
400,AKADEMI KEPERAWATAN PASAR REBO JAKARTA,,
401,AKADEMI KEPERAWATAN PATRIA HUSADA SURAKARTA,,
402,AKADEMI KEPERAWATAN PELNI,,
403,AKADEMI KEPERAWATAN PEMBINA,,
404,AKADEMI KEPERAWATAN PEMDA WAIKABUBAK,,
405,AKADEMI KEPERAWATAN PEMERINTAH DAERAH KABUPATEN SERANG PROVINSI BANTEN,,
406,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN ASAHAN KISARAN,,
407,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN BELITUNG,,
408,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN BUTON,,
409,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN DAIRI SIDIKALANG PROVINSI SUMATERA UTARA,,
410,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR PROVINSI KALIMANTAN TENGAH,,
411,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN LAMONGAN,,
412,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN MUNA,,
413,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN MUSI BANYUASIN,,
414,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN NGAWI,,
415,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN PAMEKASAN,,
416,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN PURWOREJO,,
417,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN TAPANULI UTARA,,
418,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN WAJO,,
419,AKADEMI KEPERAWATAN PEMERINTAH PROVINSI KALIMANTAN BARAT,,
420,AKADEMI KEPERAWATAN PEMKOT TEGAL,,
421,AKADEMI KEPERAWATAN POLRI,,
422,AKADEMI KEPERAWATAN PRAGOLOPATI,,
423,AKADEMI KEPERAWATAN PRIMA JAMBI,,
424,AKADEMI KEPERAWATAN PURNA BHAKTI HUSADA,10,
425,AKADEMI KEPERAWATAN PUTRA PERTIWI WATANSOPPENG,,
426,AKADEMI KEPERAWATAN RANTEPAO,,
427,AKADEMI KEPERAWATAN ROYHAN,,
428,AKADEMI KEPERAWATAN RS DGI CIKINI,3,
429,AKADEMI KEPERAWATAN RS DUSTIRA,4,
430,AKADEMI KEPERAWATAN RS EFARINA,,
431,AKADEMI KEPERAWATAN RS HUSADA,3,
432,AKADEMI KEPERAWATAN RS MARTHEN INDEY,,
433,AKADEMI KEPERAWATAN RSP TNI-AU JAKARTA,3,
434,AKADEMI KEPERAWATAN RSPAD GATOT SUBROTO,,
435,AKADEMI KEPERAWATAN RSU HISARMA MEDAN,,
